attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
994,838,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,WhiteBear/Skipper Turla,,,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
995,839,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Bell TroX Info Tech Services,IN,India,Non-state-group,Private technology companies / hacking for hire groups without state affiliation / research entities
995,839,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Dark Basin,IN,India,Non-state-group,Private technology companies / hacking for hire groups without state affiliation / research entities
996,840,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
997,841,2016.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,KP,"Korea, Democratic People's Republic of",State,
1000,843,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,World Hacker Team(Anonymous),,,Non-state-group,Hacktivist(s)
1002,845,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1003,846,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,,,Individual hacker(s),
1004,847,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Chilean Hackers,CL,Chile,Non-state-group,Hacktivist(s)
1005,848,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Chilean Hackers,CL,Chile,Non-state-group,Hacktivist(s)
1006,849,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Qadmon,LB,Lebanon,Non-state-group,Terrorist(s)
1006,849,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Hezbollah,LB,Lebanon,Non-state-group,Terrorist(s)
1007,850,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1008,851,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1009,852,2016.0,,,,Attribution by receiver government / state entity,Domestic legal action,,,,Majd Ouida for Islamic Jihad,PS,Palestine,Non-state-group,Terrorist(s)
1010,853,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Caliphate Cyber Army,,,Non-state-group,Terrorist(s)
1011,854,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,New World Hacktivists,US,United States,Non-state-group,Hacktivist(s)
1012,855,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,,,Non-state-group,Hacktivist(s)
1013,856,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,NSHC,,,Non-state-group,Hacktivist(s)
1014,857,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous Philippines,PH,Philippines,Non-state-group,Hacktivist(s)
1014,857,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,LulzSec Philipinas,PH,Philippines,Non-state-group,Hacktivist(s)
1015,857,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,LulzSec Philipinas,PH,Philippines,Non-state-group,Hacktivist(s)
1015,857,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Anonymous Philippines,PH,Philippines,Non-state-group,Hacktivist(s)
1016,858,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,PT,Portugal,Non-state-group,Hacktivist(s)
1017,859,2016.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,State,
1018,860,2017.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,KP,"Korea, Democratic People's Republic of",State,
1019,861,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1022,863,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Monte Melkonian Cyber Army,AM,Armenia,Non-state-group,Hacktivist(s)
1024,865,,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,CyberJustice Team,,,,
1025,865,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,CyberJustice Team,,,Non-state-group,Hacktivist(s)
1026,866,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Team System Dz,DZ,Algeria,Non-state-group,Terrorist(s)
1027,867,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,US,United States,Non-state-group,Hacktivist(s)
1028,868,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,US,United States,Non-state-group,Hacktivist(s)
1029,869,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT33/Elfin/MAGNALLIUM/Peach Sandstorm fka HOLMIUM/Magic Hound/G0064/Refined Kitten,,,,
1029,869,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Charming Kitten/NEWSCASTER/APT35/Mint Sandstorm fka PHOSPHORUS/NewsBeef/Group 83/TA453/Calanque/G0059 (IRGC),,,,
1030,870,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1031,871,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Ke3chang/Vixen Panda/APT15/Nylon Typhoon fka NICKEL/Flea,CN,China,,
1032,872,,,,,Media-based attribution,"Attribution given, type unclear",,,,,US,United States,Individual hacker(s),
1034,874,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1035,875,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Phineas Fischer,,,Individual hacker(s),
1036,876,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,,,Non-state-group,Hacktivist(s)
1037,877,,,,,Attribution by receiver government / state entity,"Political statement / report (e.g., on government / state agency websites)",,,,,SA,Saudi Arabia,Non-state-group,Criminal(s)
1038,878,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,CZ,Czech Republic,Non-state-group,Hacktivist(s)
1039,879,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1041,881,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Team Pak,PK,Pakistan,Non-state-group,Hacktivist(s)
1042,882,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,,,Non-state-group,Hacktivist(s)
1043,883,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1043,883,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Zim4thewin,,,Non-state-group,Hacktivist(s)
1044,884,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Skynetcentral,,,Non-state-group,Hacktivist(s)
1045,885,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1046,886,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)",,,State affiliated actor,
1046,886,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,FSB,,,State affiliated actor,
1047,886,2018.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)",RU,Russia,State affiliated actor,
1047,886,2018.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,FSB,RU,Russia,State affiliated actor,
1048,887,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,CN,China,State affiliated actor,
1049,888,2017.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,GRU,RU,Russia,State,
1050,889,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1051,890,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,shad0ws3c,,,Non-state-group,Hacktivist(s)
1052,891,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1053,892,2016.0,,,,Receiver attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,TR,Turkey,State affiliated actor,
1054,893,,,,,Receiver attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,,
1055,894,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,BR,Brazil,Non-state-group,Hacktivist(s)
1056,895,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,1937CN,CN,China,Non-state-group,Hacktivist(s)
1057,896,,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,KP,"Korea, Democratic People's Republic of",,
1058,897,2016.0,,,,Receiver attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State,
1059,897,2016.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State affiliated actor,
1060,897,2016.0,,,,Attribution by third-party,Political statement/report and indictment / sanctions,,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State,
1062,899,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Intsights,IL,Israel,Non-state-group,Private technology companies / hacking for hire groups without state affiliation / research entities
1063,900,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,BR,Brazil,Non-state-group,Hacktivist(s)
1064,901,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,,,Non-state-group,Hacktivist(s)
1066,903,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,GhostSquad,,,Non-state-group,Hacktivist(s)
1067,904,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1068,905,,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,,,,
1070,907,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Muslim Leads,,,Individual hacker(s),
1071,908,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,PK,Pakistan,State affiliated actor,
1072,909,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,RedHack,TR,Turkey,Non-state-group,Hacktivist(s)
1073,910,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,,,State affiliated actor,
1074,911,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/Diamond Sleet fka ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)",KP,"Korea, Democratic People's Republic of",State affiliated actor,
1074,911,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Reconnaissance General Bureau,KP,"Korea, Democratic People's Republic of",State affiliated actor,
1075,912,2016.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State affiliated actor,
1076,913,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,PK,Pakistan,Non-state-group,Hacktivist(s)
1077,914,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Cyber Hunta,UA,Ukraine,Non-state-group,Hacktivist(s)
1078,915,,,,,Receiver attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,UA,Ukraine,Non-state-group,Hacktivist(s)
1079,916,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Syrian Cyber Army,SY,Syria,Non-state-group,Hacktivist(s)
1080,917,,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,,,Individual hacker(s),
1081,918,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT33/Elfin/MAGNALLIUM/Peach Sandstorm fka HOLMIUM/Magic Hound/G0064/Refined Kitten,IR,"Iran, Islamic Republic of",State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
1081,918,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Charming Kitten/NEWSCASTER/APT35/Mint Sandstorm fka PHOSPHORUS/NewsBeef/Group 83/TA453/Calanque/G0059 (IRGC),IR,"Iran, Islamic Republic of",State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
1082,919,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,N.T.R.,IN,India,Individual hacker(s),
1083,920,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1084,921,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1086,923,,,,,Attacker confirms,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,Vimproducts,,,Individual hacker(s),
1087,924,2017.0,,,,IT-security community attributes attacker,Statement in media report and political statement/technical report,,,,APT33/Elfin/MAGNALLIUM/Peach Sandstorm fka HOLMIUM/Magic Hound/G0064/Refined Kitten,IR,"Iran, Islamic Republic of",State affiliated actor,
1088,925,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1089,926,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1090,927,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Shad0wS3C,,,Non-state-group,Hacktivist(s)
1091,928,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1092,929,,,,,Receiver attributes attacker,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,TR,Turkey,,
1093,930,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1094,931,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Group_dmar,,,Non-state-group,Hacktivist(s)
1095,932,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,Individual hacker(s),
1097,934,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,Non-state-group,Religious actors
1098,935,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1099,936,,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,US,United States,,
1100,937,2018.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,RedAlpha ,CN,China,State affiliated actor,
1101,937,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,RedAlpha ,CN,China,State affiliated actor,
1105,940,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1108,942,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kasimierz,,,Non-state-group,Hacktivist(s)
1108,942,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Non-state-group,Hacktivist(s)
1109,943,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
1110,944,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1111,945,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Cryptolulz,,,Individual hacker(s),
1112,946,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Cryptolulz,,,Individual hacker(s),
1113,947,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Sandworm/APT44/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/Seashell Blizzard fka IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",RU,Russia,State affiliated actor,
1114,947,2017.0,,,,Attribution by third-party,Domestic legal action,,,,"Sandworm/APT44/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/Seashell Blizzard fka IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",RU,Russia,State,
1115,947,2017.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"Sandworm/APT44/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/Seashell Blizzard fka IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",RU,Russia,State,
1116,948,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
1117,949,2020.0,,,,Attribution by receiver government / state entity,Political statement/report and indictment / sanctions,,,,"Storm-0062 fka Dev-0062/DarkShadow/Oro01xy/Oro0lxy (Li Xiaoyu) < (Guangdong State Security Department (GSSD), MSS))",CN,China,State,
1117,949,2020.0,,,,Attribution by receiver government / state entity,Political statement/report and indictment / sanctions,,,,MSS,CN,China,State,
1118,950,2019.0,,,,Media-based attribution,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",,,,Emissary Panda/APT27/Lucky Mouse/BRONZE UNION/TEMP.Hippo/Group 35/TG-3390/Iron Tiger/ZipToken/G0027,CN,China,State affiliated actor,
1119,951,2016.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State affiliated actor,
1121,953,2016.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Emissary Panda/APT27/Lucky Mouse/BRONZE UNION/TEMP.Hippo/Group 35/TG-3390/Iron Tiger/ZipToken/G0027,CN,China,State affiliated actor,
1122,954,2020.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013/LotusBlossum (PLA, Unit 78020)",CN,China,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
1122,954,2020.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,PLA Unit 78020,CN,China,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
1123,955,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Kapustkiy,,,Individual hacker(s),
1124,956,2021.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,PLA Unit 61419,CN,China,State affiliated actor,
1124,956,2021.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"Tick/BRONZE BUTLER/REBALDKNIGHT/G0060 (PLA, Unit 61419)",CN,China,State affiliated actor,
1125,956,2021.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,"Tick/BRONZE BUTLER/REBALDKNIGHT/G0060 (PLA, Unit 61419)",CN,China,State affiliated actor,
1125,956,2021.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,PLA Unit 61419,CN,China,State affiliated actor,
1126,957,2018.0,,,,IT-security community attributes attacker,Statement in media report and political statement/technical report,,,,Covellite,KP,"Korea, Democratic People's Republic of",State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
1127,958,2019.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Charming Kitten/NEWSCASTER/APT35/Mint Sandstorm fka PHOSPHORUS/NewsBeef/Group 83/TA453/Calanque/G0059 (IRGC),IR,"Iran, Islamic Republic of",State affiliated actor,
1128,959,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,,,,
1129,959,2018.0,,,,Media-based attribution,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",,,,NSA/Equation Group,US,United States,State,
1130,960,2019.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT 20,CN,China,State affiliated actor,
1131,961,,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/Diamond Sleet fka ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)",KP,"Korea, Democratic People's Republic of",,
1131,961,,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,Reconnaissance General Bureau,KP,"Korea, Democratic People's Republic of",,
1132,962,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Sun Team,,,,
1133,963,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,DustSquad/Nomadic Octopus,RU,Russia,,
1133,963,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT-C-34/Golden Falcon,RU,Russia,,
1139,968,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,
1141,970,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Thrip,CN,China,,
1142,971,2017.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,Conimes,CN,China,State affiliated actor,
1142,971,2017.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,Hellsing,CN,China,State affiliated actor,
1147,973,2017.0,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Alone Injector,PK,Pakistan,State affiliated actor,
1147,973,2017.0,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,ISI,PK,Pakistan,State affiliated actor,
1149,975,2017.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",RU,Russia,State,
1150,976,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049/Hazel Sandstorm fka EUROPIUM,IR,"Iran, Islamic Republic of",State affiliated actor,
