attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
64,48,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
65,48,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
66,49,2008.0,,,,Media-based attribution,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",,,,BND,DE,Germany,State,
67,50,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,,,,
68,51,2017.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,RU,Russia,Non-state-group,Hacktivist(s)
69,52,2007.0,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Armenian State Service,AM,Armenia,State,
70,53,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Bacioglu,AZ,Azerbaijan,Individual hacker(s),
71,54,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Axteam,AM,Armenia,Non-state-group,Hacktivist(s)
72,55,2014.0,,,,Receiver attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,KP,"Korea, Democratic People's Republic of",State,
73,55,2014.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,KP,"Korea, Democratic People's Republic of",State,
74,56,2007.0,,,,IT-security community attributes attacker,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,,,,
75,56,2007.0,,,,Attribution by receiver government / state entity,"Political statement / report (e.g., on government / state agency websites)",,,,,RU,Russia,State affiliated actor,
76,56,2007.0,,,,Contested attribution,"Attribution given, type unclear",,,,,RU,Russia,State affiliated actor,
77,57,2007.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,CN,China,State,
78,58,2007.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,,CN,China,State,
79,59,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,TR,Turkey,Non-state-group,Hacktivist(s)
80,60,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
81,61,,,,,Receiver attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,,
82,62,2009.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,IL,Israel,State,
83,63,2011.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,,CN,China,State affiliated actor,
85,65,2007.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,State affiliated actor,
86,66,2013.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,,CN,China,State,
92,69,2018.0,,,,Media-based attribution,"Attribution given, type unclear",,,,Blackgear/Topgear/Comnie,CN,China,State affiliated actor,
93,69,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Blackgear/Topgear/Comnie,,,,
94,70,2013.0,,,,Media-based attribution,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,GCHQ,GB,United Kingdom,State,
95,70,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,GCHQ,GB,United Kingdom,State,
96,71,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
97,71,2013.0,,,,Media-based attribution,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,NSA/Equation Group,US,United States,State,
98,72,2013.0,,,,Media-based attribution,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,GCHQ,GB,United Kingdom,State,
99,72,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,GCHQ,GB,United Kingdom,State,
100,73,2014.0,,,,Attribution by receiver government / state entity,Domestic legal action,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",CN,China,State,
100,73,2014.0,,,,Attribution by receiver government / state entity,Domestic legal action,,,,PLA Unit 61398,CN,China,State,
104,75,2015.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/Midnight Blizzard fka NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),RU,Russia,State affiliated actor,
105,76,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
106,77,,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,,
107,78,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,CN,China,,
108,79,2011.0,,,,Attribution by third-party,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",CN,China,State,
108,79,2011.0,,,,Attribution by third-party,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,PLA Unit 61398,CN,China,State,
109,80,2008.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,,CN,China,State affiliated actor,
110,81,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,CN,China,Non-state-group,Hacktivist(s)
112,83,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,CL,Chile,Individual hacker(s),
113,84,,,,,Media-based attribution,"Attribution given, type unclear",,,,,RU,Russia,Non-state-group,Hacktivist(s)
114,85,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Ghostnet,CN,China,,
115,86,2020.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,CIA,US,United States,State,
120,89,2020.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT-C-39/CIA,US,United States,State,
122,91,2008.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)",RU,Russia,State,
123,91,2008.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)",RU,Russia,State,
124,92,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Hindu Militant Group,IN,India,Non-state-group,Hacktivist(s)
125,93,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Pakistan Cyber Army,PK,Pakistan,Non-state-group,Hacktivist(s)
126,94,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous/Arabic Hackers,,,Non-state-group,Hacktivist(s)
127,95,,,,,Media-based attribution,"Attribution given, type unclear",,,,,CN,China,Non-state-group,Hacktivist(s)
128,96,,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,,,Non-state-group,Criminal(s)
129,97,,,,,Receiver attributes attacker,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,IQ,Iraq,Non-state-group,Private technology companies / hacking for hire groups without state affiliation / research entities
